TrafficVolume,AverageSpeed,CO2Emissions,NoiseLevel,TrafficCondition
2222.222222,75,33.89830508,33.75,Free Flow
1666.666667,50,33.89830508,33.75,Free Flow
1111.111111,60,25.42372881,33.75,Free Flow
833.3333333,55,42.37288136,33.75,Free Flow
1944.444444,80,33.89830508,33.75,Free Flow
3055.555556,95,59.3220339,41.25,Free Flow
833.3333333,70,33.89830508,37.5,Free Flow
1944.444444,70,42.37288136,33.75,Free Flow
277.7777778,45,33.89830508,33.75,Free Flow
1666.666667,55,42.37288136,30,Free Flow
3055.555556,85,42.37288136,33.75,Free Flow
1388.888889,70,50.84745763,33.75,Free Flow
1388.888889,50,33.89830508,30,Free Flow
0,50,8.474576271,30,Free Flow
4166.666667,100,16.94915254,33.75,Free Flow
3888.888889,120,42.37288136,41.25,Free Flow
3055.555556,95,25.42372881,41.25,Free Flow
2222.222222,75,33.89830508,37.5,Free Flow
3888.888889,90,59.3220339,37.5,Free Flow
2222.222222,90,42.37288136,37.5,Free Flow
3055.555556,70,59.3220339,33.75,Free Flow
2222.222222,85,42.37288136,41.25,Free Flow
833.3333333,80,0,33.75,Free Flow
2222.222222,65,59.3220339,45,Free Flow
1388.888889,70,76.27118644,33.75,Free Flow
1944.444444,50,50.84745763,33.75,Free Flow
1944.444444,70,50.84745763,41.25,Free Flow
2500,75,42.37288136,33.75,Free Flow
2500,70,33.89830508,33.75,Free Flow
1111.111111,60,50.84745763,33.75,Free Flow
1388.888889,55,50.84745763,33.75,Free Flow
3055.555556,70,42.37288136,41.25,Free Flow
2500,105,42.37288136,30,Free Flow
3333.333333,110,33.89830508,33.75,Free Flow
1666.666667,55,42.37288136,30,Free Flow
1944.444444,60,16.94915254,33.75,Free Flow
3333.333333,75,25.42372881,33.75,Free Flow
1666.666667,55,42.37288136,30,Free Flow
277.7777778,50,25.42372881,33.75,Free Flow
2222.222222,70,42.37288136,33.75,Free Flow
1944.444444,75,25.42372881,37.5,Free Flow
555.5555556,15,25.42372881,37.5,Free Flow
277.7777778,60,25.42372881,33.75,Free Flow
1944.444444,75,50.84745763,48.75,Free Flow
2222.222222,90,76.27118644,41.25,Free Flow
1388.888889,50,33.89830508,37.5,Free Flow
2222.222222,90,50.84745763,33.75,Free Flow
833.3333333,60,33.89830508,33.75,Free Flow
2777.777778,85,42.37288136,33.75,Free Flow
1944.444444,65,33.89830508,33.75,Free Flow
7500,60,313.559322,78.75,Moderate
5833.333333,60,296.6101695,82.5,Moderate
7222.222222,55,330.5084746,82.5,Moderate
3333.333333,15,254.2372881,75,Moderate
6111.111111,40,305.0847458,82.5,Moderate
3888.888889,40,296.6101695,75,Moderate
5555.555556,65,313.559322,86.25,Moderate
1666.666667,20,194.9152542,63.75,Moderate
6388.888889,45,305.0847458,75,Moderate
2500,35,245.7627119,78.75,Moderate
1944.444444,0,211.8644068,63.75,Moderate
4444.444444,50,271.1864407,82.5,Moderate
4722.222222,10,254.2372881,63.75,Moderate
5000,45,313.559322,78.75,Moderate
3611.111111,45,220.3389831,75,Moderate
6666.666667,55,288.1355932,78.75,Moderate
3611.111111,50,296.6101695,82.5,Moderate
4166.666667,35,262.7118644,63.75,Moderate
5277.777778,10,296.6101695,82.5,Moderate
3611.111111,25,245.7627119,67.5,Moderate
4444.444444,60,322.0338983,93.75,Moderate
5000,40,254.2372881,75,Moderate
5555.555556,25,330.5084746,82.5,Moderate
5000,40,313.559322,71.25,Moderate
5833.333333,45,279.6610169,75,Moderate
6388.888889,50,288.1355932,78.75,Moderate
6944.444444,40,322.0338983,78.75,Moderate
6666.666667,50,338.9830508,90,Moderate
4722.222222,45,296.6101695,82.5,Moderate
3888.888889,30,211.8644068,63.75,Moderate
3333.333333,20,237.2881356,67.5,Moderate
3333.333333,20,228.8135593,63.75,Moderate
4166.666667,35,245.7627119,71.25,Moderate
4722.222222,35,347.4576271,86.25,Moderate
3055.555556,50,296.6101695,82.5,Moderate
4722.222222,70,296.6101695,86.25,Moderate
6666.666667,55,313.559322,82.5,Moderate
5555.555556,15,288.1355932,75,Moderate
3611.111111,50,262.7118644,75,Moderate
3333.333333,25,254.2372881,75,Moderate
3333.333333,30,288.1355932,71.25,Moderate
5000,50,305.0847458,78.75,Moderate
4166.666667,30,254.2372881,71.25,Moderate
1944.444444,15,194.9152542,63.75,Moderate
3611.111111,35,271.1864407,75,Moderate
3888.888889,50,271.1864407,71.25,Moderate
3888.888889,45,271.1864407,75,Moderate
5277.777778,45,279.6610169,75,Moderate
2222.222222,25,169.4915254,67.5,Moderate
3888.888889,40,262.7118644,75,Moderate
5555.555556,65,423.7288136,120,Heavy
4166.666667,35,347.4576271,97.5,Heavy
7777.777778,50,415.2542373,105,Heavy
5555.555556,45,389.8305085,93.75,Heavy
6111.111111,50,406.779661,108.75,Heavy
9166.666667,50,474.5762712,105,Heavy
1666.666667,25,296.6101695,90,Heavy
8333.333333,45,449.1525424,93.75,Heavy
6666.666667,25,406.779661,93.75,Heavy
8055.555556,80,432.2033898,120,Heavy
6111.111111,60,347.4576271,101.25,Heavy
5833.333333,35,364.4067797,97.5,Heavy
6944.444444,50,381.3559322,105,Heavy
3888.888889,25,338.9830508,101.25,Heavy
4166.666667,40,347.4576271,116.25,Heavy
5833.333333,60,364.4067797,112.5,Heavy
6111.111111,50,381.3559322,93.75,Heavy
9444.444444,90,483.0508475,108.75,Heavy
9444.444444,30,500,112.5,Heavy
4722.222222,10,338.9830508,82.5,Heavy
7222.222222,60,398.3050847,112.5,Heavy
3611.111111,40,330.5084746,101.25,Heavy
9444.444444,40,483.0508475,101.25,Heavy
5555.555556,35,330.5084746,93.75,Heavy
6666.666667,65,398.3050847,105,Heavy
8055.555556,60,423.7288136,93.75,Heavy
5277.777778,40,322.0338983,93.75,Heavy
5000,50,330.5084746,93.75,Heavy
5833.333333,40,389.8305085,105,Heavy
8055.555556,50,406.779661,86.25,Heavy
8611.111111,40,432.2033898,97.5,Heavy
10000,90,457.6271186,101.25,Heavy
5833.333333,40,389.8305085,108.75,Heavy
5555.555556,40,347.4576271,82.5,Heavy
5000,30,389.8305085,78.75,Heavy
9444.444444,50,432.2033898,112.5,Heavy
5555.555556,70,389.8305085,116.25,Heavy
5833.333333,55,381.3559322,93.75,Heavy
4722.222222,50,322.0338983,93.75,Heavy
7222.222222,55,372.8813559,105,Heavy
6666.666667,55,389.8305085,116.25,Heavy
7222.222222,55,347.4576271,112.5,Heavy
4166.666667,35,347.4576271,97.5,Heavy
6944.444444,60,415.2542373,112.5,Heavy
6666.666667,65,398.3050847,120,Heavy
6666.666667,50,355.9322034,112.5,Heavy
5555.555556,25,338.9830508,97.5,Heavy
6111.111111,50,355.9322034,101.25,Heavy
5277.777778,70,372.8813559,112.5,Heavy
4444.444444,50,347.4576271,93.75,Heavy